,Event,Division,"Avg TP, $",Team1,Team2,Date
0,Baltimore Ravens at Pittsburgh Steelers Tickets on 02-Nov-2014 (9037819),AFC North,202.0,Baltimore Ravens,Pittsburgh Steelers,02-Nov-2014
1,Pittsburgh Steelers at Baltimore Ravens Tickets on 11-Sep-2014 (9037835),AFC North,199.0,Pittsburgh Steelers,Baltimore Ravens,11-Sep-2014
2,Cleveland Browns at Pittsburgh Steelers Tickets on 07-Sep-2014 (9037806),AFC North,196.0,Cleveland Browns,Pittsburgh Steelers,07-Sep-2014
3,Cincinnati Bengals at Pittsburgh Steelers Tickets on 28-Dec-2014 (9037828),AFC North,164.0,Cincinnati Bengals,Pittsburgh Steelers,28-Dec-2014
4,Pittsburgh Steelers at Cleveland Browns Tickets on 12-Oct-2014 (9037890),AFC North,148.0,Pittsburgh Steelers,Cleveland Browns,12-Oct-2014
5,Cleveland Browns at Baltimore Ravens Tickets on 28-Dec-2014 (9037845),AFC North,137.0,Cleveland Browns,Baltimore Ravens,28-Dec-2014
6,Cincinnati Bengals at Baltimore Ravens Tickets on 07-Sep-2014 (9037833),AFC North,135.0,Cincinnati Bengals,Baltimore Ravens,07-Sep-2014
7,Cleveland Browns at Cincinnati Bengals Tickets on 06-Nov-2014 (9037858),AFC North,102.0,Cleveland Browns,Cincinnati Bengals,06-Nov-2014
8,Pittsburgh Steelers at Cincinnati Bengals Tickets on 07-Dec-2014 (9037859),AFC North,89.0,Pittsburgh Steelers,Cincinnati Bengals,07-Dec-2014
9,Baltimore Ravens at Cleveland Browns Tickets on 21-Sep-2014 (9037889),AFC North,83.0,Baltimore Ravens,Cleveland Browns,21-Sep-2014
10,Baltimore Ravens at Cincinnati Bengals Tickets on 26-Oct-2014 (9037854),AFC North,83.0,Baltimore Ravens,Cincinnati Bengals,26-Oct-2014
11,Cincinnati Bengals at Cleveland Browns Tickets on 14-Dec-2014 (9037903),AFC North,81.0,Cincinnati Bengals,Cleveland Browns,14-Dec-2014
12,Miami Dolphins at New England Patriots Tickets on 14-Dec-2014 (9037705),AFC East,209.0,Miami Dolphins,New England Patriots,14-Dec-2014
13,Buffalo Bills at New England Patriots Tickets on 28-Dec-2014 (9037709),AFC East,208.0,Buffalo Bills,New England Patriots,28-Dec-2014
14,New York Jets at New England Patriots Tickets on 16-Oct-2014 (9037693),AFC East,201.0,New York Jets,New England Patriots,16-Oct-2014
15,New England Patriots at Buffalo Bills Tickets on 12-Oct-2014 (9037803),AFC East,127.0,New England Patriots,Buffalo Bills,12-Oct-2014
16,Miami Dolphins at Buffalo Bills Tickets on 14-Sep-2014 (9037796),AFC East,123.0,Miami Dolphins,Buffalo Bills,14-Sep-2014
17,New England Patriots at Miami Dolphins Tickets on 07-Sep-2014 (9037759),AFC East,122.0,New England Patriots,Miami Dolphins,07-Sep-2014
18,New York Jets at Miami Dolphins Tickets on 28-Dec-2014 (9037779),AFC East,108.0,New York Jets,Miami Dolphins,28-Dec-2014
19,New England Patriots at New York Jets Tickets on 21-Dec-2014 (9037745),AFC East,106.0,New England Patriots,New York Jets,21-Dec-2014
20,Buffalo Bills at Miami Dolphins Tickets on 13-Nov-2014 (9037769),AFC East,103.0,Buffalo Bills,Miami Dolphins,13-Nov-2014
21,Buffalo Bills at New York Jets Tickets on 26-Oct-2014 (9037732),AFC East,91.0,Buffalo Bills,New York Jets,26-Oct-2014
22,New York Jets at Buffalo Bills Tickets on 23-Nov-2014 (9037809) *,AFC East,67.0,New York Jets,Buffalo Bills,23-Nov-2014
23,Miami Dolphins at New York Jets Tickets on 01-Dec-2014 (9037741),AFC East,55.0,Miami Dolphins,New York Jets,01-Dec-2014
24,San Diego Chargers at Denver Broncos Tickets on 23-Oct-2014 (9037694),AFC West,241.0,San Diego Chargers,Denver Broncos,23-Oct-2014
25,Kansas City Chiefs at Denver Broncos Tickets on 14-Sep-2014 (9037677),AFC West,218.0,Kansas City Chiefs,Denver Broncos,14-Sep-2014
26,Oakland Raiders at Denver Broncos Tickets on 28-Dec-2014 (9037710),AFC West,213.0,Oakland Raiders,Denver Broncos,28-Dec-2014
27,Denver Broncos at San Diego Chargers Tickets on 14-Dec-2014 (9037791),AFC West,202.0,Denver Broncos,San Diego Chargers,14-Dec-2014
