,Home Team,Guest Team,Date,ADDR_STATE,% Sales,% Ticket Sold
0,Jets,Raiders,9/7/14,NY,47.0,45.0
1,Jets,Raiders,9/7/14,NJ,28.0,31.0
2,Jets,Raiders,9/7/14,CT,5.0,5.0
3,Jets,Raiders,9/7/14,PA,4.0,4.0
4,Jets,Raiders,9/7/14,CA,3.0,3.0
5,Jets,Bears,9/22/14,NY,43.0,43.0
6,Jets,Bears,9/22/14,NJ,25.0,28.0
7,Jets,Bears,9/22/14,IL,9.0,7.0
8,Jets,Bears,9/22/14,CT,5.0,4.0
9,Jets,Bears,9/22/14,CA,2.0,2.0
10,Jets,Lions,9/28/14,NY,49.0,49.0
11,Jets,Lions,9/28/14,NJ,25.0,28.0
12,Jets,Lions,9/28/14,CT,5.0,4.0
13,Jets,Lions,9/28/14,MI,3.0,3.0
14,Jets,Lions,9/28/14,PA,2.0,2.0
15,Jets,Broncos,10/12/14,NY,44.0,45.0
16,Jets,Broncos,10/12/14,NJ,23.0,24.0
17,Jets,Broncos,10/12/14,CT,5.0,5.0
18,Jets,Broncos,10/12/14,PA,4.0,3.0
19,Jets,Broncos,10/12/14,QC,3.0,3.0
20,Jets,Bills,10/26/14,NY,55.0,56.0
21,Jets,Bills,10/26/14,NJ,23.0,23.0
22,Jets,Bills,10/26/14,CT,5.0,5.0
23,Jets,Bills,10/26/14,PA,2.0,2.0
24,Jets,Bills,10/26/14,CA,1.0,1.0
25,Jets,Steelers,11/09/14,NY,39.0,40.0
26,Jets,Steelers,11/09/14,NJ,28.0,30.0
27,Jets,Steelers,11/09/14,CT,8.0,7.0
28,Jets,Steelers,11/09/14,PA,8.0,9.0
29,Jets,Steelers,11/09/14,CA,2.0,2.0
30,Jets,Miami,12/01/14,NY,37.0,38.0
31,Jets,Miami,12/01/14,NJ,35.0,38.0
32,Jets,Miami,12/01/14,PA,5.0,5.0
33,Jets,Miami,12/01/14,CT,5.0,5.0
34,Jets,Miami,12/01/14,FL,4.0,3.0
35,Jets,Patiots,12/21/14,NY,38.0,38.0
36,Jets,Patiots,12/21/14,NJ,24.0,23.0
37,Jets,Patiots,12/21/14,CT,9.0,9.0
38,Jets,Patiots,12/21/14,MA,7.0,8.0
39,Jets,Patiots,12/21/14,PA,4.0,3.0
