,Genre,"Avg TP, $",City,Team_Name,ADDR_STATE
0,Arizona Cardinals,109,Arizona,Cardinals,AZ
1,Atlanta Falcons,99,Atlanta,Falcons,GA
2,Baltimore Ravens,140,Baltimore,Ravens,MD
3,Buffalo Bills,79,Buffalo,Bills,NY
4,Carolina Panthers,107,Carolina,Panthers,NC
5,Chicago Bears,236,Chicago,Bears,IL
6,Cincinnati Bengals,80,Cincinnati,Bengals,OH
7,Cleveland Browns,81,Cleveland,Browns,OH
8,Dallas Cowboys,187,Dallas,Cowboys,TX
9,Denver Broncos,257,Denver,Broncos,CO
10,Detroit Lions,100,Detroit,Lions,MI
11,Green Bay Packers,209,Green Bay,Packers,WI
12,Houston Texans,164,Houston,Texans,TX
13,Indianapolis Colts,108,Indianapolis,Colts,IN
14,Jacksonville Jaguars,86,Jacksonville,Jaguars,FL
15,Kansas City Chiefs,67,Kansas City,Chiefs,MO
16,Miami Dolphins,90,Miami,Dolphins,FL
17,Minnesota Vikings,71,Minnesota,Vikings,MN
18,New England Patriots,257,New England,Patriots,MA
19,New Orleans Saints,198,New Orleans,Saints,LA
20,New York Giants,187,New York,Giants,NY
21,New York Jets,96,New York,Jets,NY
22,Oakland Raiders,77,Oakland,Raiders,NV
23,Philadelphia Eagles,179,Philadelphia,Eagles,PA
24,Pittsburgh Steelers,166,Pittsburgh,Steelers,PA
25,San Diego Chargers,132,San Diego,Chargers,CA
26,San Francisco 49ers,221,San Francisco,49ers,CA
27,Seattle Seahawks,291,Seattle,Seahawks,WA
28,St Louis Rams,48,St Louis,Rams,MO
29,Tampa Bay Buccaneers,85,Tampa Bay,Buccaneers,FL
30,Tennessee Titans,85,Tennessee,Titans,TN
31,Washington Redskins,76,Washington,Redskins,MD
